,z,qc,fs,u2
134279,8.98,14.845,121.374,89.1
134280,9.00,15.176,118.528,74.0
134281,9.02,15.979,115.970,88.1
134282,9.04,17.041,116.898,110.5
134283,9.06,17.951,116.438,-21.0
134284,9.08,17.925,111.816,-155.0
134285,9.10,18.030,102.132,-144.6
134286,9.12,18.133,95.306,-49.6
134287,9.14,18.229,93.420,71.9
134288,9.16,18.364,91.542,95.3
134289,9.18,18.558,92.710,101.3
134290,9.20,18.816,95.755,102.2
134291,9.22,19.215,98.543,102.0
134292,9.24,19.611,103.374,102.8
134293,9.26,19.939,107.647,103.5
134294,9.28,20.205,108.836,103.4
134295,9.30,20.478,109.975,103.5
134296,9.32,20.806,111.973,103.7
134297,9.34,21.264,114.079,103.5
134298,9.36,21.840,116.590,102.9
134299,9.38,22.309,123.192,104.3
134300,9.40,22.656,123.347,104.5
134301,9.42,23.034,128.992,103.9
134302,9.44,23.404,131.252,104.4
134303,9.46,23.765,134.692,104.4
134304,9.48,24.005,139.812,106.0
134305,9.50,24.058,146.509,104.6
134306,9.52,24.307,148.272,104.7
134307,9.54,24.468,147.779,105.1
134308,9.56,24.477,149.034,106.6
134309,9.58,24.680,154.274,106.3
134310,9.60,25.070,159.538,103.9
134311,9.62,25.371,161.367,102.9
134312,9.64,25.434,161.420,103.2
134313,9.66,25.408,159.687,104.4
134314,9.68,25.178,156.161,103.5
134315,9.70,24.553,150.637,105.5
134316,9.72,23.542,142.213,105.3
134317,9.74,22.557,128.760,105.1
134318,9.76,21.827,120.099,106.0
134319,9.78,21.237,114.244,108.4
134320,9.80,20.776,112.803,99.3
134321,9.82,20.410,111.323,83.4
134322,9.84,20.031,109.676,70.6
134323,9.86,19.703,106.833,78.0
134324,9.88,19.503,108.243,88.8
134325,9.90,19.338,108.073,95.1
134326,9.92,19.241,108.074,99.1
134327,9.94,19.184,106.829,101.0
134328,9.96,19.241,103.188,101.3
134329,9.98,19.431,97.410,100.4
134330,10.00,19.798,96.831,103.1
134331,10.02,20.233,107.395,105.9
134332,10.04,20.664,115.700,106.6
134333,10.06,21.234,121.380,100.6
134334,10.08,21.945,131.551,86.9
134335,10.10,22.594,139.833,99.3
134336,10.12,23.109,140.928,81.8
134337,10.14,23.054,143.038,0.9
134338,10.16,22.938,141.884,-4.8
134339,10.18,23.342,136.316,62.2
134340,10.20,24.239,137.121,107.0
134341,10.22,24.966,138.033,111.7
134342,10.24,25.275,137.340,75.5
134343,10.26,25.180,134.482,1.9
134344,10.28,24.885,129.422,-29.3
134345,10.30,24.550,129.382,46.6
134346,10.32,24.576,133.173,92.2
134347,10.34,24.792,133.523,100.6
134348,10.36,25.110,130.750,108.7
134349,10.38,25.485,130.847,112.6
134350,10.40,25.802,131.634,115.1
134351,10.42,26.064,131.960,113.7
134352,10.44,26.212,133.565,113.7
134353,10.46,26.321,136.129,115.6
134354,10.48,26.434,137.696,116.5
134355,10.50,26.550,141.069,114.0
134356,10.52,26.640,144.276,115.8
134357,10.54,26.599,146.719,116.4
134358,10.56,26.508,147.231,115.9
134359,10.58,26.374,148.192,116.8
134360,10.60,26.331,152.203,116.7
134361,10.62,26.390,157.109,115.4
134362,10.64,26.445,161.177,117.0
134363,10.66,26.427,164.381,115.8
134364,10.68,26.259,166.543,115.8
134365,10.70,25.683,167.268,115.0
134366,10.72,25.340,165.935,115.9
134367,10.74,25.172,165.225,117.2
134368,10.76,25.011,163.515,116.4
134369,10.78,24.720,160.648,116.2
134370,10.80,24.339,156.771,116.8
134371,10.82,23.998,154.388,115.8
134372,10.84,23.765,153.602,117.3
134373,10.86,23.732,153.509,115.9
134374,10.88,23.805,154.504,116.3
134375,10.90,23.907,155.391,118.3
134376,10.92,23.972,155.449,118.1
134377,10.94,23.972,153.493,118.6
134378,10.96,23.914,150.996,119.6
134379,10.98,23.865,149.514,118.9
134380,11.00,23.862,148.114,120.2
134381,11.02,23.898,147.045,119.3
134382,11.04,23.980,146.307,121.4
134383,11.06,24.045,146.325,120.4
134384,11.08,24.060,147.661,120.8
134385,11.10,24.157,149.065,120.2
134386,11.12,24.319,149.638,120.3
134387,11.14,24.500,149.565,120.9
134388,11.16,24.613,149.184,121.0
134389,11.18,24.794,149.944,119.8
134390,11.20,25.109,149.978,120.7
134391,11.22,25.585,151.329,122.6
134392,11.24,26.096,154.397,121.3
134393,11.26,26.642,158.813,121.4
134394,11.28,27.256,164.517,119.9
134395,11.30,27.861,169.896,118.2
134396,11.32,28.320,175.273,119.7
134397,11.34,28.572,180.388,120.4
134398,11.36,28.687,184.284,121.0
134399,11.38,28.751,185.270,120.9
134400,11.40,28.821,184.911,125.4
134401,11.42,28.814,184.333,124.6
134402,11.44,28.861,183.346,124.9
134403,11.46,28.944,182.781,125.6
134404,11.48,29.047,182.544,126.2
134405,11.50,29.131,183.609,125.8
134406,11.52,29.213,183.699,126.7
134407,11.54,29.312,184.709,125.3
134408,11.56,29.452,184.823,125.7
134409,11.58,29.567,185.048,125.7
134410,11.60,29.654,184.827,127.3
134411,11.62,29.798,184.344,127.6
134412,11.64,30.018,183.665,127.1
134413,11.66,30.244,183.617,128.1
134414,11.68,30.542,184.048,126.7
134415,11.70,30.793,185.526,127.4
134416,11.72,31.152,186.864,127.1
134417,11.74,31.498,187.895,127.7
134418,11.76,31.841,188.652,128.4
134419,11.78,32.123,190.099,129.5
134420,11.80,32.472,192.284,128.0
134421,11.82,32.826,195.382,129.1
134422,11.84,33.216,198.968,128.5
134423,11.86,33.550,200.749,127.6
134424,11.88,33.763,199.282,127.6
134425,11.90,33.849,199.187,129.1
134426,11.92,33.812,204.637,129.5
134427,11.94,33.850,238.018,128.5
134428,11.96,33.784,237.560,129.5
134429,11.98,33.903,242.158,133.3
134430,12.00,34.415,240.889,132.7
134431,12.02,35.154,229.719,153.3
134432,12.04,34.642,222.754,122.5
134433,12.06,35.260,215.356,134.2
134434,12.08,36.008,213.807,125.4
134435,12.10,36.890,214.674,126.7
134436,12.12,38.003,214.580,132.7
134437,12.14,39.058,216.813,133.1
134438,12.16,39.934,219.913,129.5
134439,12.18,41.186,225.877,126.5
134440,12.20,42.818,231.100,126.5
134441,12.22,44.353,234.078,123.7
134442,12.24,45.858,237.057,128.1
134443,12.26,46.993,240.036,132.5
134444,12.28,47.924,243.015,135.0
134445,12.30,48.557,245.993,131.9
134446,12.32,49.515,246.091,132.6
134447,12.34,50.556,252.129,133.4
134448,12.36,51.596,262.062,134.2
134449,12.38,52.637,263.783,134.9
134450,12.40,53.678,251.591,135.7
134451,12.42,54.719,243.969,132.9
134452,12.44,56.871,232.990,127.3
134453,12.46,57.039,233.497,127.6
134454,12.48,56.553,232.738,132.3
134455,12.50,56.301,220.781,113.7
134456,12.52,55.924,218.363,109.9
134457,12.54,55.342,232.368,128.2
134458,12.56,53.711,236.455,134.7
134459,12.58,51.217,235.597,111.0
134460,12.60,48.459,229.633,120.8
134461,12.62,45.815,232.548,108.0
134462,12.64,42.871,236.177,120.4
134463,12.66,39.846,237.284,129.8
134464,12.68,37.572,226.712,138.6
134465,12.70,35.517,219.567,142.3
134466,12.72,33.641,218.437,148.8
134467,12.74,31.924,214.496,147.8
134468,12.76,30.670,206.806,138.3
134469,12.78,29.482,200.752,135.0
134470,12.80,28.462,197.221,137.4
134471,12.82,27.501,193.983,139.0
134472,12.84,26.577,192.051,142.5
134473,12.86,25.837,190.241,140.4
134474,12.88,25.135,187.776,142.4
134475,12.90,24.520,184.972,144.0
134476,12.92,24.074,181.526,143.9
134477,12.94,23.753,177.782,145.8
134478,12.96,23.511,174.581,146.5
134479,12.98,23.348,172.721,146.6
134480,13.00,23.265,171.749,146.1
134481,13.02,23.252,171.680,146.1
134482,13.04,23.249,172.411,144.9
134483,13.06,23.199,174.197,146.6
134484,13.08,23.051,176.254,149.3
134485,13.10,22.696,176.973,147.4
134486,13.12,22.074,176.060,147.7
134487,13.14,21.294,174.104,148.1
134488,13.16,20.602,171.831,147.7
134489,13.18,20.009,169.983,148.5
134490,13.20,19.494,167.838,149.0
134491,13.22,19.021,165.691,149.2
134492,13.24,18.507,163.239,149.6
134493,13.26,17.962,161.886,149.9
134494,13.28,17.382,162.722,149.7
134495,13.30,16.779,165.992,151.2
134496,13.32,16.341,168.287,151.6
134497,13.34,16.301,166.444,152.7
134498,13.36,16.786,167.866,155.2
134499,13.38,17.840,170.910,157.3
134500,13.40,19.165,171.559,156.3
134501,13.42,20.233,171.049,130.4
134502,13.44,20.708,168.201,97.0
134503,13.46,21.097,162.849,105.7
134504,13.48,21.676,159.183,108.9
134505,13.50,22.186,155.889,131.3
134506,13.52,22.561,152.141,135.4
134507,13.54,22.775,151.747,139.7
134508,13.56,22.839,151.846,147.1
134509,13.58,22.787,151.879,146.6
134510,13.60,22.649,152.346,148.1
134511,13.62,22.541,153.562,150.7
134512,13.64,22.598,155.516,152.5
134513,13.66,22.830,156.903,152.9
134514,13.68,23.049,159.094,153.7
134515,13.70,23.122,161.479,154.9
134516,13.72,23.184,162.834,155.6
134517,13.74,23.289,164.532,156.3
134518,13.76,23.418,165.472,157.2
134519,13.78,23.539,166.191,157.1
134520,13.80,23.746,169.839,156.5
134521,13.82,23.922,172.262,157.6
134522,13.84,24.070,174.409,157.5
134523,13.86,24.224,174.907,156.9
134524,13.88,24.395,176.619,157.4
134525,13.90,24.588,177.732,158.9
134526,13.92,24.783,179.602,158.6
134527,13.94,24.973,179.933,158.1
134528,13.96,25.144,181.091,157.8
134529,13.98,25.255,183.514,159.4
134530,14.00,25.502,187.020,157.3
134531,14.02,25.901,192.544,158.1
134532,14.04,26.284,197.540,159.2
134533,14.06,26.390,199.995,158.5
134534,14.08,26.065,199.358,158.2
134535,14.10,25.351,195.642,157.6
134536,14.12,24.590,188.194,158.0
134537,14.14,24.142,184.202,157.6
134538,14.16,24.052,184.038,158.1
134539,14.18,24.353,186.556,159.8
134540,14.20,25.006,188.023,158.9
134541,14.22,25.697,188.555,157.2
134542,14.24,25.926,186.926,158.1
134543,14.26,25.779,184.905,157.2
134544,14.28,25.700,180.600,152.4
134545,14.30,25.707,175.429,151.3
134546,14.32,26.071,172.512,156.5
134547,14.34,26.601,172.813,154.6
134548,14.36,26.536,175.621,157.6
134549,14.38,26.346,179.302,159.5
134550,14.40,26.294,182.956,158.3
134551,14.42,26.355,187.132,157.5
134552,14.44,26.521,190.805,160.7
134553,14.46,26.720,192.447,164.2
134554,14.48,26.894,192.803,162.0
134555,14.50,27.090,191.460,161.6
134556,14.52,27.436,190.005,162.1
134557,14.54,27.879,189.892,161.8
134558,14.56,28.389,191.725,162.9
134559,14.58,28.868,194.659,163.2
134560,14.60,29.269,198.050,162.8
134561,14.62,29.598,202.104,163.2
134562,14.64,29.828,203.487,163.0
134563,14.66,29.982,206.364,162.9
